Waktu;Hari;Kelompok_Umur_Pengemudi;Jenis_Kelamin_Pengemudi;Pendidikan;Hubungan_Pengemudi_Kendaraan;Pengalaman_Mengemudi;Jenis_Kendaraan;Pemilik_Kendaraan;Usia_Kendaraan;Kerusakan_Kendaraan;Lokasi_Kecelakaan;Jalur_atau_Median;Kondisi_Jalan;Jenis_Persimpangan;Jenis_Permukaan_Jalan;Kondisi_Permukaan_Jalan;Kondisi_Pencahayaan;Kondisi_Cuaca;Jenis_Tabrakan;Jumlah_Kendaraan_Terlibat;Jumlah_Korban;Pergerakan_Kendaraan;Kelas_Korban;Jenis_Kelamin_Korban;Kelompok_Umur_Korban;Keparahan_Korban;Pekerjaan_Korban;Kondisi_Korban;Pergerakan_Pejalan_Kaki;Penyebab_Kecelakaan;Tingkat_Keparahan_Kecelakaan
386;2;1;0;1;0;3;4;1;4;2;9;5;2;6;0;3;3;6;2;2.0;1.0;1;3;2;3;3;3;3;4;6;1
706;2;1;0;2;3;2;3;1;2;0;2;5;2;6;0;3;2;6;2;2.0;2.0;1;1;1;1;2;3;3;4;1;1
706;2;0;0;1;0;1;3;1;5;2;8;0;2;6;0;3;2;6;7;2.0;2.0;1;1;0;0;2;3;3;4;16;1
1032;3;0;0;2;0;4;5;1;5;2;8;2;3;4;0;3;3;6;2;2.0;1.0;1;0;0;5;2;6;3;6;18;1
1032;3;0;0;2;0;4;6;3;5;2;8;2;4;4;2;3;3;6;6;2.0;1.0;1;1;0;5;2;3;3;4;0;1
288;0;1;0;2;0;2;15;1;1;2;12;0;3;4;0;3;3;6;2;1.0;1.0;1;3;2;3;3;6;3;4;0;0
68;0;1;0;2;0;0;11;1;1;2;12;0;2;5;0;3;3;6;2;2.0;1.0;1;3;2;3;3;3;3;4;9;1
68;0;1;0;4;0;3;7;1;5;2;9;2;2;5;0;3;3;6;2;2.0;1.0;1;1;1;0;2;6;3;4;18;1
493;6;0;0;2;0;3;11;1;5;2;12;2;2;5;0;3;3;6;0;2.0;1.0;1;3;2;3;3;3;3;4;0;1
493;6;0;0;1;0;1;3;1;3;2;12;0;0;5;0;3;3;6;2;2.0;1.0;1;1;0;0;1;3;3;4;1;1
545;5;0;0;2;2;0;3;1;2;2;12;2;2;0;0;3;3;6;2;2.0;1.0;1;1;1;4;2;6;3;4;19;1
545;5;1;0;2;0;2;2;3;2;2;12;0;2;0;0;3;3;6;2;2.0;1.0;1;3;2;3;3;0;3;4;4;1
121;4;3;0;3;0;1;12;1;1;2;12;3;0;6;0;3;3;6;7;2.0;3.0;1;1;0;1;2;1;3;4;4;1
121;4;1;0;3;2;2;3;1;5;2;12;2;2;6;0;3;3;6;2;2.0;3.0;1;1;0;1;2;0;3;4;18;1
121;4;1;0;2;0;4;11;1;1;2;2;2;2;6;0;3;3;6;6;2.0;3.0;1;3;2;3;3;3;3;4;16;1
121;4;0;2;2;0;2;3;1;2;2;12;0;2;6;0;3;3;6;2;2.0;3.0;1;2;1;0;2;0;3;4;11;1
222;1;0;0;1;0;2;5;2;1;2;4;2;2;6;0;3;3;6;0;2.0;1.0;1;1;0;1;2;3;3;4;17;1
222;1;1;0;2;0;2;3;1;5;2;9;3;2;6;0;3;3;6;2;2.0;1.0;1;3;2;3;3;0;3;4;18;1
173;5;0;2;2;0;4;3;3;4;2;12;2;2;7;0;0;3;3;2;2.0;1.0;1;3;2;3;3;0;3;4;0;1
173;5;3;0;2;0;0;13;1;5;2;8;2;2;7;2;0;3;3;2;2.0;1.0;1;1;0;0;2;0;3;4;6;1
164;0;0;0;2;0;1;3;1;5;2;4;6;2;4;0;3;3;6;2;2.0;1.0;1;3;2;3;3;3;3;4;0;1
164;0;1;0;2;0;0;0;1;0;2;4;3;2;4;0;3;3;6;2;2.0;1.0;1;3;2;3;3;3;3;4;11;1
411;2;1;0;2;0;2;3;1;5;2;12;2;2;4;0;3;3;6;6;2.0;1.0;1;1;0;5;2;2;3;4;4;1
411;2;1;0;3;0;2;5;2;4;2;3;2;2;4;0;3;3;6;2;2.0;1.0;1;3;2;3;3;3;3;4;7;1
499;6;2;1;2;0;2;5;1;5;2;8;4;2;6;3;3;3;6;2;2.0;1.0;1;2;1;4;2;6;3;4;9;1
499;6;1;0;2;0;4;3;1;1;2;2;0;2;6;0;3;3;6;6;2.0;1.0;1;2;1;1;2;3;3;4;15;1
195;1;1;2;2;0;1;3;2;2;2;3;0;3;1;0;3;3;6;6;2.0;1.0;1;2;1;1;2;3;3;4;0;1
195;1;0;0;2;2;4;3;1;4;2;8;5;2;1;0;3;3;6;2;2.0;1.0;12;1;0;0;2;3;3;4;18;1
236;3;0;0;2;0;1;13;1;1;2;12;2;4;6;2;3;3;6;2;2.0;1.0;1;3;2;3;3;3;3;4;4;1
236;3;1;0;3;1;2;5;1;0;2;8;0;2;6;0;3;3;6;2;2.0;1.0;1;1;0;0;2;3;3;4;16;1
519;6;0;0;3;0;2;15;1;1;2;8;2;3;5;0;3;2;6;2;2.0;1.0;2;2;0;0;2;3;3;4;1;1
519;6;1;0;2;3;2;3;1;5;2;12;3;8;5;0;3;2;6;6;2.0;1.0;1;3;2;3;3;3;3;4;17;1
92;1;1;0;2;0;2;3;1;0;2;8;0;0;6;3;3;3;6;2;1.0;4.0;1;1;0;0;2;3;3;4;11;1
92;1;1;0;3;0;4;3;1;5;2;9;0;2;6;0;3;3;6;2;1.0;4.0;1;1;0;4;2;6;3;4;6;1
92;1;1;0;2;0;3;1;1;5;2;12;2;2;6;0;3;3;6;2;1.0;4.0;1;3;2;3;3;3;3;4;16;1
92;1;1;0;2;0;2;5;1;1;2;8;3;2;6;0;3;3;6;2;1.0;4.0;1;1;1;1;2;6;3;4;17;1
354;5;3;0;3;0;0;15;1;2;2;8;0;3;6;0;3;3;6;2;1.0;1.0;4;0;0;1;2;3;3;4;0;0
307;3;3;2;2;3;2;3;1;5;2;8;5;2;6;0;3;3;6;2;1.0;1.0;1;3;2;3;3;3;3;4;6;1
617;2;1;0;2;0;4;3;1;2;2;12;2;0;4;3;3;2;6;6;2.0;1.0;1;1;1;0;2;6;3;4;0;1
617;2;4;0;1;2;1;3;1;5;2;2;0;2;4;0;3;2;6;2;2.0;1.0;1;3;2;3;3;3;3;4;0;1
522;3;1;0;2;0;0;15;1;5;2;4;0;2;5;0;0;2;6;7;2.0;1.0;1;1;1;1;2;1;3;4;1;0
522;3;1;0;2;0;0;13;1;0;2;8;3;2;5;0;0;2;6;6;2.0;1.0;1;1;0;0;1;3;3;4;3;0
354;2;3;0;0;2;1;4;1;5;2;2;0;2;7;0;3;3;6;6;1.0;2.0;1;3;2;3;3;3;3;4;6;1
354;2;3;0;2;3;2;15;1;5;2;8;0;2;7;0;3;3;6;2;1.0;2.0;4;0;1;5;2;3;3;4;18;1
764;3;3;2;3;2;1;11;1;5;2;8;5;2;5;0;3;2;6;0;2.0;3.0;1;1;1;0;2;3;3;4;6;1
764;3;3;0;2;0;0;2;1;5;2;9;2;2;5;0;3;2;6;2;2.0;3.0;1;3;2;3;3;3;3;4;1;1
764;3;1;0;2;2;2;2;1;2;2;8;2;2;5;0;3;2;6;2;2.0;3.0;2;3;2;3;3;3;3;4;16;1
946;6;0;2;2;0;3;15;1;2;2;9;0;2;4;0;3;3;6;2;2.0;1.0;1;1;1;1;2;3;3;4;0;0
946;6;0;0;2;0;1;3;1;1;2;8;3;2;4;0;3;3;6;2;2.0;1.0;1;3;2;3;3;3;3;4;18;0
321;2;1;0;2;0;2;3;1;1;2;8;3;2;6;0;3;3;6;2;2.0;1.0;2;1;0;0;2;6;3;4;13;2
321;2;1;0;2;0;4;13;1;5;2;12;2;2;6;3;3;3;6;2;2.0;1.0;1;1;0;1;2;6;3;4;13;2
350;6;0;0;3;0;1;2;1;5;2;12;2;2;6;0;3;3;6;2;2.0;1.0;9;3;2;3;3;3;3;4;18;1
350;6;0;0;3;2;4;13;1;4;2;9;2;2;6;0;3;3;6;2;2.0;1.0;9;3;2;3;3;3;3;4;18;1
1058;2;3;0;2;0;0;3;1;5;2;2;2;2;5;0;3;3;6;6;2.0;1.0;1;1;0;0;2;3;3;4;18;1
1058;2;3;0;2;0;2;4;3;5;2;2;3;2;5;0;3;3;6;2;2.0;1.0;1;3;2;3;3;3;3;4;17;1
451;1;0;0;2;0;1;13;1;1;2;9;3;2;4;4;3;3;6;2;3.0;1.0;1;3;2;3;3;3;3;4;6;1
451;1;0;0;2;0;1;6;1;5;2;8;2;0;4;2;3;3;6;2;3.0;1.0;1;3;2;3;3;3;3;4;0;1
451;1;1;0;2;0;1;14;1;2;2;8;2;0;4;2;3;3;6;2;3.0;1.0;1;1;1;0;2;3;3;4;1;1
660;2;0;2;2;0;1;3;1;1;2;9;2;2;6;0;3;2;6;7;2.0;1.0;1;1;0;1;1;3;3;4;6;1
660;2;3;0;2;0;4;3;1;2;2;2;5;2;6;0;3;2;6;2;2.0;1.0;1;1;1;4;2;3;3;4;6;1
690;1;0;0;2;0;4;2;1;5;2;12;2;2;4;3;3;2;6;2;2.0;2.0;1;1;1;1;2;3;3;4;18;1
690;1;1;0;3;0;2;3;1;5;2;8;2;2;4;0;3;2;6;2;2.0;2.0;1;3;2;3;3;6;3;4;4;1
585;6;0;0;2;0;2;14;1;5;2;12;2;2;4;0;3;2;6;2;2.0;1.0;1;3;2;3;3;3;3;4;0;1
585;6;0;0;2;0;1;5;1;5;2;12;2;2;4;0;3;2;6;2;2.0;1.0;1;1;0;1;2;3;3;4;0;1
367;6;0;0;3;0;2;5;1;5;2;12;2;2;5;0;3;3;6;2;2.0;1.0;10;1;0;0;1;3;3;4;18;1
367;6;3;0;2;0;2;2;3;1;2;9;2;2;5;3;3;3;6;6;2.0;1.0;1;3;2;3;3;3;3;4;18;1
327;6;1;2;2;0;4;2;1;3;2;2;0;2;5;0;3;3;6;2;1.0;1.0;1;1;0;0;1;3;3;4;3;1
771;1;4;0;2;0;2;2;1;5;2;12;0;2;6;0;3;0;6;2;1.0;4.0;1;3;2;3;3;3;3;4;9;0
771;1;4;0;2;0;4;5;1;5;2;12;4;2;6;0;3;0;6;2;1.0;4.0;1;1;0;1;1;6;3;4;16;0
771;1;4;0;3;0;3;13;1;5;2;9;2;2;6;0;3;0;6;2;1.0;4.0;1;3;2;3;3;3;3;4;17;0
771;1;4;0;3;0;2;2;1;5;2;8;4;2;6;0;3;0;6;2;1.0;4.0;1;3;2;3;3;3;3;4;16;0
617;6;3;0;3;0;0;5;1;5;2;4;2;2;4;0;3;1;6;2;3.0;1.0;4;3;2;3;3;3;3;4;4;1
617;6;1;2;3;0;2;2;3;5;2;9;3;2;4;0;3;1;6;2;3.0;1.0;1;1;0;0;2;3;3;4;4;1
617;6;1;0;3;0;2;15;1;5;2;8;6;2;4;0;3;1;6;2;3.0;1.0;1;3;2;3;3;3;3;4;13;1
468;0;0;0;3;0;1;2;1;1;2;12;2;2;5;0;3;3;6;0;2.0;1.0;12;3;2;3;3;3;3;4;18;1
