Waktu;Hari;Kelompok_Umur_Pengemudi;Jenis_Kelamin_Pengemudi;Pendidikan;Hubungan_Pengemudi_Kendaraan;Pengalaman_Mengemudi;Jenis_Kendaraan;Pemilik_Kendaraan;Usia_Kendaraan;Kerusakan_Kendaraan;Lokasi_Kecelakaan;Jalur_atau_Median;Kondisi_Jalan;Jenis_Persimpangan;Jenis_Permukaan_Jalan;Kondisi_Permukaan_Jalan;Kondisi_Pencahayaan;Kondisi_Cuaca;Jenis_Tabrakan;Jumlah_Kendaraan_Terlibat;Jumlah_Korban;Pergerakan_Kendaraan;Kelas_Korban;Jenis_Kelamin_Korban;Kelompok_Umur_Korban;Keparahan_Korban;Pekerjaan_Korban;Kondisi_Korban;Pergerakan_Pejalan_Kaki;Penyebab_Kecelakaan;Tingkat_Keparahan_Kecelakaan
0.3902894491129785;1.0;0.0;0.0;0.0;0.0;0.0;0.1875;0.3333333333333333;0.8;1.0;0.6923076923076923;0.3333333333333333;0.25;0.8571428571428571;0.0;1.0;1.0;0.75;0.4444444444444444;0.3333333333333333;0.3333333333333333;0.08333333333333333;1.0;1.0;0.6000000000000001;1.0;0.5;0.75;0.5;0.6842105263157894;1
0.3902894491129785;1.0;0.25;0.0;0.3333333333333333;0.0;0.6666666666666666;0.0;0.3333333333333333;0.4;1.0;0.6153846153846154;0.0;0.25;0.8571428571428571;0.0;1.0;1.0;0.75;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.08333333333333333;1.0;1.0;0.6000000000000001;1.0;0.5;0.75;0.5;0.5789473684210527;1
0.3902894491129785;1.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.8125;0.3333333333333333;1.0;1.0;0.07692307692307693;0.8333333333333333;0.25;0.8571428571428571;0.0;1.0;1.0;0.75;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.08333333333333333;0.3333333333333333;0.0;0.2;0.6666666666666666;0.5;0.75;0.5;0.05263157894736842;0
0.5527544351073763;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;1.0;1.0;1.0;0.6153846153846154;0.8333333333333333;0.0;0.5714285714285714;0.75;1.0;0.6666666666666666;0.75;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.08333333333333333;0.0;0.5;0.0;0.6666666666666666;0.5;0.75;0.5;0.0;1
0.5527544351073763;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.16666666666666666;0.1875;0.3333333333333333;0.4;1.0;0.3076923076923077;0.8333333333333333;0.25;0.5714285714285714;0.0;1.0;0.6666666666666666;0.75;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.08333333333333333;1.0;1.0;0.6000000000000001;1.0;0.5;0.75;0.5;0.5789473684210527;1
0.24649859943977592;0.0;0.25;0.0;0.3333333333333333;1.0;0.3333333333333333;0.1875;0.3333333333333333;1.0;1.0;0.9230769230769231;0.3333333333333333;0.25;0.5714285714285714;0.0;1.0;1.0;0.75;0.2222222222222222;0.0;0.0;0.9166666666666666;0.3333333333333333;0.0;0.2;0.6666666666666666;0.5;0.75;0.5;0.631578947368421;1
0.41643323996265175;0.5;0.0;0.0;0.3333333333333333;0.0;0.16666666666666666;0.1875;0.3333333333333333;1.0;1.0;0.6923076923076923;0.0;0.25;0.7142857142857142;0.0;1.0;1.0;0.75;0.2222222222222222;0.0;0.0;0.75;0.3333333333333333;0.5;0.0;0.6666666666666666;0.5;0.75;0.5;0.21052631578947367;1
0.40709617180205415;0.0;0.0;0.0;0.3333333333333333;0.0;0.16666666666666666;0.1875;1.0;0.8;1.0;0.6923076923076923;0.8333333333333333;0.25;0.5714285714285714;0.0;1.0;1.0;0.75;0.2222222222222222;0.3333333333333333;0.0;0.9166666666666666;1.0;1.0;0.6000000000000001;1.0;0.5;0.75;0.5;0.8421052631578947;1
0.40709617180205415;0.0;0.0;0.0;0.3333333333333333;0.0;0.6666666666666666;0.8125;0.3333333333333333;0.0;1.0;0.3076923076923077;0.8333333333333333;0.25;0.5714285714285714;0.75;1.0;1.0;0.75;0.4444444444444444;0.3333333333333333;0.0;0.08333333333333333;0.0;0.0;1.0;0.6666666666666666;0.5;0.75;0.625;0.0;1
0.40709617180205415;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.1875;0.3333333333333333;0.2;1.0;0.6923076923076923;0.0;0.25;0.5714285714285714;0.0;1.0;1.0;0.75;0.4444444444444444;0.3333333333333333;0.0;0.9166666666666666;0.6666666666666666;0.0;0.0;0.6666666666666666;0.5;0.75;0.5;0.6842105263157894;0
